file_path	file_role	accession	assembly_code	annotation_code	sample_code	dataset_code	md5
/home/labuser/rdcheng/gd/manual_files/annotation.Zhuzhen B.gff	annotation	Zhuzhen B	ASM_Zhuzhen B	ANN_Zhuzhen B			
/home/labuser/rdcheng/gd/manual_files/annotation.Zimangfeie.gff	annotation	Zimangfeie	ASM_Zimangfeie	ANN_Zimangfeie			
/home/labuser/rdcheng/gd/manual_files/annotation.Zinuo.gff	annotation	Zinuo	ASM_Zinuo	ANN_Zinuo			
/home/labuser/rdcheng/gd/manual_files/coreBlocks.3R11.bed	coreBlocks	3R11	ASM_3R11				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.3R25.bed	coreBlocks	3R25	ASM_3R25				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.3R34.bed	coreBlocks	3R34	ASM_3R34				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.02428.bed	coreBlocks	02428	ASM_02428				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.117425.bed	coreBlocks	117425	ASM_117425				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.117534.bed	coreBlocks	117534	ASM_117534				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.125619.bed	coreBlocks	125619	ASM_125619				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.125827.bed	coreBlocks	125827	ASM_125827				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.127518.bed	coreBlocks	127518	ASM_127518				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.127564.bed	coreBlocks	127564	ASM_127564				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.127652.bed	coreBlocks	127652	ASM_127652				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.127742.bed	coreBlocks	127742	ASM_127742				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.128077.bed	coreBlocks	128077	ASM_128077				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.132278.bed	coreBlocks	132278	ASM_132278				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.132424.bed	coreBlocks	132424	ASM_132424				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.17S.bed	coreBlocks	17S	ASM_17S				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.201B.bed	coreBlocks	201B	ASM_201B				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.33S.bed	coreBlocks	33S	ASM_33S				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.3R17.bed	coreBlocks	3R17	ASM_3R17				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.3R30.bed	coreBlocks	3R30	ASM_3R30				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.66S.bed	coreBlocks	66S	ASM_66S				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.923.bed	coreBlocks	923	ASM_923				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.Aikoku.bed	coreBlocks	Aikoku	ASM_Aikoku				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.Akita.bed	coreBlocks	Akita	ASM_Akita				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.AUS449.bed	coreBlocks	AUS449	ASM_AUS449				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.Azucena.bed	coreBlocks	Azucena	ASM_Azucena				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.Balilla.bed	coreBlocks	Balilla	ASM_Balilla				
/home/labuser/rdcheng/gd/manual_files/coreBlocks.Basmati1.bed	coreBlocks	Basmati1	ASM_Basmati1				
